operation,property_type,place_with_parent_names,lat-lon,price,currency,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,floor,rooms,expenses,properati_url
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Moreno|Moreno|,,180000,USD,2729232,180000,,,,,,,,http://moreno.properati.com.ar/10rhr_venta_casa_moreno_lavadero_piscina_mosca-propiedades_bp3
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|,"-34.6624160375,-58.6044728878",125000,USD,1895300,125000,,,,,,,,http://moron-bs-as-g-b-a-zona-oeste.properati.com.ar/ju9j_venta_departamento_moron
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Sur|Lanús|Lanús|,"-34.7033677191,-58.3923923872",175000,USD,2653420,175000,100,92,1750,1902.173913,,4,2,http://lanus.properati.com.ar/pzqo_venta_departamentos_lanus
sell,PH,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,,,,,,199,110,,,,3,,http://ramos-mejia.properati.com.ar/sat2_venta_ph_la-matanza
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Ituzaingó|Ituzaingó|,,90000,USD,1364616,90000,,70,,1285.714286,,3,,http://ituzaingo.properati.com.ar/smi9_venta_departamentos_ituzaingo
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|San Miguel|Bella Vista|,"-34.580822,-58.7059822",90000,USD,1364616,90000,1050,,85.71428571,,,,,http://bella-vista-san-miguel.properati.com.ar/i0bs_venta_casa_bella-vista
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Moreno|,"-34.6501996137,-58.7923693657",85000,USD,1288804,85000,68,68,1250,1250,,,,http://moreno-bs-as-g-b-a-zona-oeste.properati.com.ar/g6nx_venta_departamento_moreno
sell,apartment,|Argentina|Capital Federal|Villa General Mitre|,"-34.616004,-58.470506",120000,USD,1819488,120000,,55,,2181.818182,,2,,http://villa-general-mitre.properati.com.ar/xxph_venta_departamentos_villa-general-mitre_balcon_lavadero_parrilla_patio_terraza_vestidor_devoto
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|General San Martín|Villa Ballester|,"-34.5525858,-58.560368",,,,,57,50,,,1,2,,http://villa-ballester.properati.com.ar/yolx_venta_departamentos_villa-ballester_belgrano_4900_lavadero_parrilla_piscina_inmobiliaria-alemana
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Benavidez|,,240000,USD,3638976,240000,760,170,315.7894737,1411.764706,,,,http://benavidez.properati.com.ar/uwo9_venta_casa_benavidez_100
sell,PH,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Lomas del Mirador|,"-34.6697642,-58.511819",90000,USD,1364616,90000,170,90,529.4117647,1000,,,,http://lomas-del-mirador.properati.com.ar/mmwv_venta_casa_lomas-del-mirador
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|Martínez|,"-34.5007768,-58.5227964",370000,USD,5610088,370000,430,250,860.4651163,1480,,,,http://martinez.properati.com.ar/nbac_venta_casa_martinez_lima_2100
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Benavidez|,,390000,USD,5913336,390000,800,180,487.5,2166.666667,,,,http://benavidez.properati.com.ar/zg5u_venta_casa_benavidez_700_suite_jardin_lavadero_parrilla_piscina_toilette_vestidor_vista_dependencias_maria-de-tigre-patricia-asensio-csi-4332
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Tres de Febrero|Caseros|,"-34.6010707,-58.5665167",390000,ARS,388917.53,25650.13,45,,570.0028889,,,,,http://caseros.properati.com.ar/118vs_venta_departamentos_caseros_balcon_piscina_placard_aire-acondicionado_grupo-dinal-s-a
sell,apartment,|Argentina|Capital Federal|Recoleta|,"-34.5927179628,-58.3950410728",129500,USD,1963530.8,129500,35,30,3700,4316.666667,6,1,,http://recoleta.properati.com.ar/yxmy_venta_departamentos_recoleta_ayacucho_hidromasaje_lavadero_parrilla_amenities_luciano-cazenave-inversiones-inmobiliarias
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|San Miguel|Bella Vista|,"-34.5479269,-58.684301",110000,USD,1667864,110000,,70,,1571.428571,,,,http://bella-vista-san-miguel.properati.com.ar/10kkx_venta_casa_bella-vista_patio_toilette_garage_placard_alicia-ovejero-propiedades
sell,apartment,|Argentina|Capital Federal|Villa Urquiza|,"-34.5731507,-58.482362",72039,USD,1092284.13,72039,26,22,2770.730769,3274.5,,1,1000,http://villa-urquiza.properati.com.ar/12q1e_venta_departamentos_villa-urquiza_subte-linea-b_le-bleu
sell,apartment,|Argentina|Capital Federal|Caballito|,"-34.6170265,-58.4484746",75500,USD,1144761.2,75500,51,29,1480.392157,2603.448276,6,1,900,http://caballito.properati.com.ar/ypxg_venta_departamentos_caballito_piscina_terraza_garage_aire-acondicionado_buyma-propiedades
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Sur|La Plata|La Plata|,"-34.90698,-57.972214",950000,ARS,947363.27,62481.09,,45,,21111.11111,,2,,http://la-plata.properati.com.ar/wmb5_venta_departamentos_brandsen
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|La Lucila|,"-34.4925364,-58.4844972",650000,USD,9855560,650000,0,150,,4333.333333,8,,,http://la-lucila.properati.com.ar/n7vs_venta_departamentos_la-lucila_del-libertador-av-_4000
sell,apartment,|Argentina|Capital Federal|Palermo|,"-34.584712,-58.444927",89000,USD,1349453.6,89000,,37,,2405.405405,7,2,,http://palermo.properati.com.ar/ya5i_venta_departamentos_palermo_balcon_parrilla_sum_terraza_lujoso_re-max-premium
sell,apartment,|Argentina|Capital Federal|Saavedra|,"-34.5546524,-58.4936437",183495,USD,2782224.58,183495,92,57,1994.51087,3219.210526,,2,,http://saavedra.properati.com.ar/12izq_venta_departamentos_saavedra_baulera_luminoso_garage_le-bleu
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Sur|La Plata|La Plata|,"-34.911168,-57.941124",165000,USD,2501796,165000,75,75,2200,2200,,3,1400,http://la-plata.properati.com.ar/ox5x_venta_departamentos_la-plata
sell,PH,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|Olivos|,"-34.5061107,-58.5094697",140000,USD,2122736,140000,161,122,869.5652174,1147.540984,,,,http://olivos.properati.com.ar/uqwu_venta_ph_olivos_diaz-velez-av_2800
sell,house,|Argentina|Capital Federal|Floresta|,"-34.632219,-58.488121",325000,USD,4927780,325000,,202,,1608.910891,,5,,http://floresta.properati.com.ar/12hku_venta_casa_floresta_suite_parrilla_patio_terraza_vestidor_dependencias_garage_re-max-cosmopolita
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|Haedo|,"-34.6497694,-58.6011355",70000,USD,1061368,70000,60,,1166.666667,,,,,http://haedo.properati.com.ar/z45t_venta_departamentos_haedo_lavadero_patio_mariela-sercuetti-servicios-inmobiliarios
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Sur|Almirante Brown|Adrogué|,"-34.8081228,-58.4123037",124000,USD,1880137.6,124000,54,44,2296.296296,2818.181818,,,,http://adrogue.properati.com.ar/rupy_venta_departamentos_adrogue
sell,PH,|Argentina|Bs.As. G.B.A. Zona Sur|Lanús|Lanús|,"-34.7131345,-58.3636661",72000,USD,1091692.8,72000,0,0,,,,4,,http://lanus.properati.com.ar/w0ho_venta_ph_lanus
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Tres de Febrero|Loma Hermosa|,"-34.56261,-58.601618",70000,USD,1061368,70000,,55,,1272.727273,,3,,http://loma-hermosa.properati.com.ar/ybz8_venta_departamentos_tres-de-febrero_luminoso_amoblado_impecable_re-max-uno
sell,apartment,|Argentina|Capital Federal|Barracas|,"-34.643771,-58.37489",,,,,328,328,,,,,,http://barracas.properati.com.ar/vatu_venta_departamentos_barracas
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Villa Luzuriaga|,,75000,USD,1137180,75000,,50,,1500,,2,,http://villa-luzuriaga.properati.com.ar/wgfa_venta_departamentos_villa-luzuriaga
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|,"-34.4284257,-58.5734184",130000,USD,1971112,130000,130,15,1000,8666.666667,,,,http://tigre-bs-as-g-b-a-zona-norte.properati.com.ar/znxp_venta_casa_tigre_cazon-av-_900_terraza_toilette_resia-y-cia-leo
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Sur|La Plata|La Plata|,"-34.920176,-57.956852",85000,USD,1288804,85000,55,52,1545.454545,1634.615385,,3,1200,http://la-plata.properati.com.ar/oxcj_venta_departamentos_la-plata
