operation,property_type,place_with_parent_names,lat-lon,price,currency,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,floor,rooms,expenses,properati_url
sell,house,|Argentina|Capital Federal|Villa Devoto|,"-34.596475,-58.513517",264000,USD,4002873.6,264000,,155,,1703.225806,,4,,http://villa-devoto.properati.com.ar/11p6p_venta_casa_villa-devoto_terraza_re-max-total-iii
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Pilar|Del Viso|,"-34.4437805,-58.8438408",86000,USD,1303966.4,86000,56,50,1535.714286,1720,,2,1800,http://del-viso.properati.com.ar/12izd_venta_departamentos_del-viso_balcon_jardin_garage_le-bleu
sell,apartment,|Argentina|Capital Federal|Balvanera|,"-34.6101303,-58.4173851",55000,USD,833932,55000,21,21,2619.047619,2619.047619,,1,743,http://balvanera.properati.com.ar/11rer_venta_departamentos_balvanera_garage_lexinton-propiedades_937
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|Florida|,"-34.5338568,-58.4804753",149000,USD,2259197.6,149000,64,57,2328.125,2614.035088,,3,,http://florida.properati.com.ar/115bk_venta_departamentos_florida_balcon_suite_lavadero_parrilla_terraza_garage_estrenar_dic-propiedades_c80
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|,"-34.3942337,-58.69763565",250000,USD,3790600,250000,,,,,,,,http://tigre-bs-as-g-b-a-zona-norte.properati.com.ar/11g8r_venta_casa_tigre_balcon_suite_jardin_lavadero_parrilla_patio_piscina_toilette_vestidor_dependencias_garage_aire-acondicionado_estrenar_losa-radiante_m-m-propiedades_bhs
sell,house,|Argentina|Bs.As. G.B.A. Zona Sur|Almirante Brown|Burzaco|,"-34.8343743,-58.3976893",180000,USD,2729232,180000,430,256,418.6046512,703.125,,,,http://burzaco.properati.com.ar/fzzu_venta_casa_burzaco
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|General San Martín|San Martín|,"-34.5769677,-58.5712963",85000,USD,1288804,85000,,,,,,,,http://san-martin.properati.com.ar/rev6_venta_casa_san-martin
sell,house,|Argentina|Capital Federal|Floresta|,"-34.6187838,-58.493994",239000,USD,3623813.6,239000,225,85,1062.222222,2811.764706,,3,,http://floresta.properati.com.ar/12u1e_venta_casa_floresta_pje-alejandro-korn_4100_jardin_patio_luminoso_lanvel-propiedades
sell,apartment,|Argentina|Capital Federal|Balvanera|,"-34.610085,-58.409733",164000,USD,2486633.6,164000,,120,,1366.666667,,4,,http://balvanera.properati.com.ar/10zpn_venta_departamentos_capital-federal_rivadavia-av-_3065_patio_toilette_garage_aire-acondicionado_re-max-ayres
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Pilar|,"-31.6646683,-63.9005894",255000,USD,3866412,255000,250,250,1020,1020,,,,http://pilar-bs-as-g-b-a-zona-norte.properati.com.ar/10mz0_venta_casa_pilar_suite_parrilla_piscina_toilette_vestidor_luminoso_garage_bustamante-propiedades_be7
