operation,property_type,place_with_parent_names,lat-lon,price,currency,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,floor,rooms,expenses,properati_url
sell,PH,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Tigre|,"-34.4281108,-58.5728848",160000,USD,2425984,160000,169,77,946.7455621,2077.922078,,,,http://tigre.properati.com.ar/i4rw_venta_departamento_tigre
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Benavidez|,,270000,USD,4093848,270000,790,221,341.7721519,1221.719457,,,,http://benavidez.properati.com.ar/n4go_venta_casa_benavidez_0
sell,apartment,|Argentina|Capital Federal|Recoleta|,"-34.5889927,-58.4001326",215000,USD,3259916,215000,40,35,5375,6142.857143,,1,3500,http://recoleta.properati.com.ar/12j4v_venta_departamentos_recoleta_balcon_gimnasio_sum_sauna_garage_placard_aire-acondicionado_subte-linea-d_subte-linea-h_deptos-temporarios
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Tres de Febrero|,"-34.5879654,-58.5862179",,,,,277,113,,,,4,,http://tres-de-febrero.properati.com.ar/um5c_venta_casa_tres-de-febrero
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Tres de Febrero|,"-34.5995115,-58.5538716",90000,USD,1364616,90000,200,90,450,1000,,3,,http://tres-de-febrero.properati.com.ar/10yhb_venta_departamentos_tres-de-febrero_lavadero_terraza_carlos-a-giampaolo_4r3
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|Martínez|,"-34.4905405,-58.4889933",1250000,USD,18953000,1250000,0,0,,,,,,http://martinez.properati.com.ar/11izk_venta_casa_martinez_colon_800_suite_lavadero_parrilla_piscina_vestidor_luminoso_vista_dependencias_garage_aire-acondicionado_reynolds-la-lucila
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Moreno|Moreno|,"-34.6489088,-58.7961616",60000,USD,909744,60000,61,,983.6065574,,,,,http://moreno.properati.com.ar/zjuc_venta_departamentos_moreno_yedro-propiedades-moreno
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|Martínez|,,240000,USD,3638976,240000,91,81,2637.362637,2962.962963,2,,,http://martinez.properati.com.ar/wakc_venta_departamentos_martinez_0
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Benavidez|,,670000,USD,10158808,670000,1050,275,638.0952381,2436.363636,,,,http://benavidez.properati.com.ar/nrrk_venta_casa_benavidez_600
sell,apartment,|Argentina|Capital Federal|Recoleta|,"-34.5880437,-58.3980657",341550,USD,5178717.72,341550,,90,,3795,8,2,,http://recoleta.properati.com.ar/100t0_venta_departamentos_capital-federal_avenida-pueyrredon_balcon_baulera_suite_jardin_lavadero_parrilla_piscina_terraza_vestidor_garage_re-max-total-v
